epoch,model_name,model_size,patch_size,window_size,image_size,difficulty_bonus,train_weighted_log_loss,validation_weighted_log_loss,train_weighted_f1,validation_weighted_f1,train_weighted_accuracy,validation_weighted_accuracy
22,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.48840019352486674,0.5911757408138881,0.787973116094329,0.6543521508476531,0.8313408721651518,0.7824543610547667
23,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3754069077209015,0.6668711290729368,0.8241130636604773,0.6736415509853724,0.8927713642049966,0.726946481510376
24,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3722691865591098,0.7583789994767173,0.8485522257816636,0.6446257916312362,0.8966153119436067,0.6842721173349976
25,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.35095766520449406,0.5462952524159548,0.8667876983507077,0.7050064399928794,0.910739850607588,0.7388828210329225
26,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.38489381203117456,0.49040382124542864,0.8415207373271889,0.6973161909249483,0.8943588532393446,0.8003588703385864
27,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3726992480415081,0.5761915515819066,0.8300211819933974,0.7050064399928794,0.8905980887322408,0.7388828210329225
28,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.41562324234296866,0.8373978042872569,0.8493121588657261,0.6446257916312362,0.8759709468613577,0.6842721173349976
29,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3906367797824554,0.4216414601020516,0.8291654800435329,0.7698351023141998,0.8861683545552228,0.8609377437977843
30,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.41874764709731604,0.504046061464586,0.8204874160969351,0.712422634836428,0.8544080624146756,0.8063270400998597
31,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3750353834286129,0.8386373109618144,0.8509413183453962,0.5734223675282216,0.884830415215394,0.6236932438757996
32,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.38422173615470173,0.5932200088969874,0.8360559351660574,0.7215738284703802,0.888424813259485,0.7448509907941956
33,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3628029121914645,0.5928007791503179,0.8629276173633689,0.7503900646093595,0.9011282293521311,0.787525354969574
34,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3325934290990826,0.4595640067188458,0.8790655979028685,0.7535051155740811,0.9145006151146916,0.8549695740365111
35,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3599635280382696,0.8373706714908109,0.831696470156645,0.5823607427055703,0.899457557086277,0.5989233889842408
36,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3419500882108983,0.5259468686035311,0.860501912499892,0.7957736892258395,0.9003760764507103,0.8361678889062255
37,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.4120711510943592,0.6528108701253105,0.8566585870764274,0.6973161909249483,0.87822740556562,0.8003588703385864
38,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.28370304373643973,0.46283572655322136,0.9035965199758303,0.646776443858672,0.9345591937585324,0.8439304103604307
39,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.438156252196893,0.4658780978282418,0.8355470046646517,0.7222985172943119,0.8633507140002179,0.8430332345139647
40,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3976420992114003,0.8310232562980654,0.8599147755778473,0.6442906126673998,0.8834092926440587,0.7150101419878295
41,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.36014891369618884,0.5836817408969238,0.87205749337656,0.712422634836428,0.899707106780796,0.8063270400998597
42,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.34699490444414544,0.6815094741337812,0.8807938377261599,0.6569583497149414,0.8938562500324426,0.7517163364019348
43,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.35454536032378503,0.5458927732233188,0.8653655620727013,0.7440534205169329,0.9018803822535518,0.8182633796224059
44,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.30972063560574203,0.39468551261015966,0.8909015730034977,0.7619701576808389,0.9307984292514287,0.8916757684506164
45,microsoft/swinv2-small-patch4-window8-256,small,4,8,256,0.03,0.3759417084999062,0.7841562128370985,0.8821317999735115,0.6166005085049345,0.9027157183864789,0.7030738024652832
